step,price,action,position,balance,portfolio_value
231,0.07838,7,25546.36345103268,7655.512186109557,9657.836153401498
237,0.07987,3,54301.26085722859,5358.85853027669,9695.900234943536
238,0.07988,4,81135.80532531417,3215.3151181660137,9696.44324755211
248,0.08186,7,56795.06372771992,5207.848225345079,9857.092142096233
266,0.0818,3,75894.75159573366,3645.493757741556,9853.684438272569
272,0.08111,7,53126.32611701357,5492.2407483205425,9801.317059671514
273,0.08175,5,47813.69350531221,5926.548464327128,9835.317908386402
278,0.08715,3,68214.89303827994,4148.58392502899,10093.511853315087
279,0.08555,3,82762.82030313906,2904.008747520293,9984.36802445384
280,0.08579,4,96302.90072053173,1742.4052485121758,10004.231101326593
281,0.08505,7,67412.03050437222,4199.573760396543,9932.966954793399
290,0.0851,7,47188.42135306055,5920.6028991731655,9936.337556318618
291,0.08518,8,28313.05281183633,7528.406791514644,9940.112630026862
296,0.08349,7,19819.13696828543,8237.56382529271,9892.26357077486
297,0.08385,7,13873.395877799801,8736.11421572993,9899.398460083443
309,0.08749,3,43829.21099631596,6115.279951010951,9949.897621078635
310,0.08739,4,71819.96486294121,3669.16797060657,9945.514699979003
320,0.08391,7,50273.975404058845,5477.091946101389,9695.581222255967
321,0.08507,7,35191.78278284119,6760.134072388375,9753.899033724676
326,0.08392,7,24634.247947988835,7646.122395729185,9713.428483524407
327,0.08361,7,17243.973563592186,8264.023237008589,9705.791866660531
332,0.08521,7,12070.78149451453,8704.830933214696,9733.38222436228
333,0.08509,7,8449.54704616017,9012.96177242517,9731.933730582938
344,0.08559,7,5914.68293231212,9229.920791929424,9736.158504106019
351,0.09179,4,46136.5841935799,5537.952475157654,9772.829538286353
356,0.09453,4,69570.21362405765,3322.771485094592,9899.243778976761
357,0.09686,7,48699.149536840356,5344.342752582459,10061.342376720815
362,0.12421,4,65909.81776832722,3206.605651549475,11393.264116553399
363,0.12808,4,75924.20143962477,1923.963390929685,11648.335111316825
375,0.1468,3,79856.0067344402,1346.7743736507796,13069.636162266603
376,0.14138,7,55899.20471410814,4733.787043285327,12636.816605765936
387,0.16375,3,64571.79166363851,3313.650930299729,13887.281815220536
400,0.16819,7,45200.25416454696,6571.749822271937,14173.980570207092
410,0.16817,7,31640.177915182874,8852.147845127496,14173.0765651238
423,0.17606,7,22148.124540628014,10523.318762251625,14422.717568874594
424,0.17308,7,15503.68717843961,11673.337980899194,14356.716157743522
441,0.17227,7,10852.581024907726,12474.584037968132,14344.158171128985
449,0.1728,3,32509.844979713507,8732.208826577693,14349.910039072187
450,0.16979,4,53081.63089543927,5239.325295946615,14252.05540568325
451,0.17719,5,47773.46780589534,6179.878713782904,14644.8594743095
452,0.16684,7,33441.42746412674,8571.036324403578,14150.404082518482
465,0.14094,7,23408.99922488872,9985.006760441785,13284.271111197602
466,0.14871,7,16386.299457422105,11029.352442861746,13466.159035174987
476,0.13548,7,11470.409620195474,11695.35719800921,13249.368293353293
480,0.13432,3,37591.66601836971,8186.750038606447,13236.062618193866
481,0.12881,7,26314.1662128588,9639.404788554308,13028.93253843265
489,0.15382,3,45114.20155654813,6747.583351988016,13687.049835416248
495,0.16324,7,31579.94108958369,8956.916030615292,14112.025614078933
500,0.15865,7,22105.958762708586,10459.963326774028,13967.073684477746
512,0.17253,7,15474.17113389601,11604.145646373061,14273.90439210414
524,0.18423,7,10831.919793727207,12459.387610772359,14454.952194370722
535,0.22001,7,7582.343855609046,13174.326812917736,14842.518284590282
536,0.218,5,6824.109470048141,13339.621908970013,14827.277773440508
548,0.20154,7,4776.876629033699,13752.221215748064,14714.952931563515
560,0.18865,7,3343.8136403235894,14022.568548568226,14653.37899181527
580,0.16907,7,2340.6695482265127,14192.17012021908,14587.907120737736
584,0.18088,7,1638.4686837585589,14319.184212584043,14615.550428102291
589,0.18577,7,1146.9280786309912,14410.49771079859,14623.56253996587
590,0.19562,7,802.8496550416938,14477.80633202113,14634.859781540386
595,0.19887,7,561.9947585291857,14525.705145290573,14637.469042919272
602,0.19927,7,393.39633097043,14559.301753950205,14637.693840822683
608,0.18825,7,275.37743167930097,14581.51881174176,14633.358613255388
614,0.19704,3,22476.22824127394,10207.063168219232,14635.77918087985
615,0.20091,7,15733.359768891758,11561.772873005537,14722.76218417358
616,0.19408,7,11013.351838224231,12477.83201218949,14615.303336952049
626,0.17301,4,39862.16291779071,7486.6992073136935,14383.252013720663
627,0.1712,4,57354.45078534607,4492.019524388215,14311.101498839462
628,0.17123,8,34412.67047120764,8420.340567578138,14312.82213236302
633,0.15871,4,55634.62388958868,5052.204340546883,13881.9754980635
634,0.15227,4,68906.32373997782,3031.3226043281297,13523.688520214551
635,0.1511,8,41343.79424398669,7196.02081117239,13443.068121438779
645,0.15729,7,28940.655970790685,9146.910430163389,13698.986207809055
656,0.14946,7,20258.45917955348,10444.551562581702,13472.380871557765
657,0.14252,7,14180.921425687437,11310.722243262691,13331.787164851665
662,0.1458,7,9926.644997981206,11930.99574642226,13378.30058712792
675,0.1631,7,6948.651498586844,12416.706486173482,13550.031545592996
683,0.15854,7,4864.056049010791,12747.19824874927,13518.34569475944
692,0.16275,7,3404.839234307554,12984.68578534222,13538.823370725775
698,0.15067,7,2383.3874640152876,13138.587923572157,13497.692912775341
699,0.1501,5,2145.048717613759,13174.362569407027,13496.334381920853
710,0.14656,7,1501.5341023296314,13268.67607142307,13488.740909460501
726,0.14105,3,29722.75226203839,9288.073249996149,13480.467456556664
727,0.14342,4,55627.293469669545,5572.8439499976885,13550.910379417695
734,0.13222,3,68271.7737676525,3900.990764998382,12927.884692557396
740,0.12622,3,77543.65801341002,2730.6935354988673,12518.25404995148
741,0.12691,7,54280.560609387016,5683.013227043427,12571.759173980732
752,0.14939,7,37996.392426570914,8115.705111874325,13791.986176479753
757,0.16012,4,58270.44966332916,4869.423067124595,14199.68746721686
758,0.15833,7,40789.31476433041,7637.211155683066,14095.383362319499
759,0.16172,5,36710.38328789737,8296.855954051818,14233.659139370582
769,0.15648,7,25697.26830152816,10020.188187118873,14041.296730941998
770,0.15489,7,17988.087811069712,11214.263153285981,14000.438074342568
771,0.15602,7,12591.6614677488,12056.21359137091,14020.764613569077
789,0.15238,7,8814.16302742416,12631.828803707578,13974.930965826472
794,0.14394,7,6169.914119196912,13012.441991557807,13900.53942987501
795,0.14451,7,4318.939883437839,13279.926278367351,13904.056280922954
805,0.14123,7,3023.257918406487,13462.91544228873,13889.890158105278
806,0.13742,7,2116.280542884541,13587.552273232955,13878.371545436148
811,0.14864,4,38681.27589604104,8152.531363939773,13902.116213127312
812,0.15,4,60421.35953321378,4891.518818363864,13954.72274834593
813,0.15237,7,42294.95167324964,7653.439583986599,14097.921370439646
818,0.14641,7,29606.466171274747,9511.160746330743,13845.84345846708
819,0.14949,5,26645.819554147274,9953.747809125129,13937.031374274606
824,0.15764,7,18652.073687903092,11213.881907479861,14154.194803640905
825,0.15614,5,16786.86631911278,11505.11538604278,14126.21669310905
837,0.15455,7,11750.806423378948,12283.438442928444,14099.52557566166
848,0.1509,7,8225.564496365263,12815.397449714808,14056.635132216326
855,0.16403,4,39476.91473647941,7689.238469828884,14164.636794053604
856,0.16466,4,58155.983046521644,4613.543081897331,14189.507250337585
857,0.16618,7,40709.18813256515,7512.851460698621,14277.904344568298
872,0.15962,7,28496.431692795602,9462.251643614636,14010.85207041867
873,0.15847,7,19947.502184956924,10817.000502721832,13978.081173971956
874,0.16333,7,13963.251529469846,11794.408162282536,14075.026034590846
876,0.16553,4,42464.207639619155,7076.6448973695215,14105.74518795568
878,0.1641,7,29724.94534773341,9167.157839467973,14045.021371031025
896,0.16531,7,20807.461743413387,10641.307054098115,14080.988554901782
902,0.16985,7,14565.22322038937,11701.551267233745,14175.45443121688
914,0.16023,7,10195.656254272559,12401.686982214642,14035.336983836734
920,0.15948,7,7136.959377990792,12889.487960044058,14027.690241646029
921,0.15902,7,4995.8715645935545,13229.963744130488,14024.407240332155
938,0.15941,7,3497.1100952154884,13468.881309964045,14026.355630242346
950,0.16251,7,2447.977066650842,13639.375918436086,14037.196671537515
956,0.16099,4,36336.73020271168,8183.625551061651,14033.475746396205
957,0.16097,7,25435.71114189818,9938.362589280801,14032.749011792152
962,0.14869,4,52171.50397068506,5963.017553568481,13720.39847896964
963,0.14834,4,68250.82863987336,3577.8105321410885,13702.138452579904
964,0.14557,8,40950.49718392402,7551.919782183635,13513.083657247455
974,0.14596,7,28665.348028746812,9345.0601528733,13529.054351149185
